Term,Group,Notes
ecosystem based management,management,
natural resource management,management,
community-based natural resource management,management,
systematic conservation planning,management,
adaptive management,management,
protected areas,management,
parks,management,
reserves,management,
preserves,management,
management unit,management,
reference,management,
remnant,management,
remnants,management,
co-management,management,
wildlife management,management,
restoration,management,
ecological engineering,management,
multifunctionality,scale,
ecosystem structure,scale,
ecosystem scale,scale,
structure and function,scale,
scale,scale,
global scale,scale,
pattern and process,scale,
spatial scale,scale,
temporal scale,scale,
biome,scale,
habitat,scale,
biosphere,scale,
temperate grassland,scale,
temperate forest,scale,
tropical savanna,scale,
tropical forest,scale,
tropical grassland,scale,
tundra,scale,
taiga,scale,
mesocosm,scale,
microcosm,scale,
biosphere,scale,
ecosystem,scale,
landscape,scale,
seascape,scale,
hydrolic cycle,cycles,
cycling,cycles,
nitrogen cycle,cycles,
carbon cycle,cycles,
photosynthesis,cycles,
nurtient subsidies,cycles,
phenology,cycles,
molecular ecology,ecology,
traits-based ecology,ecology,
disease ecology,ecology,
infectious disease ecology,ecology,
supply side ecology,ecology,
political ecology,ecology,
reconciliation ecology,ecology,
macro-ecology,ecology,
micro-ecology,ecology,
landscape ecology,ecology,
ecosystem ecology,ecology,
marine ecology,ecology,
terrestrial ecology,ecology,
freshwater ecology,ecology,
tropical ecology,ecology,
quantatative ecology,ecology,
statistical ecology,ecology,
theoretical ecology,ecology,
applied ecology,ecology,
computational ecology,ecology,
systems ecology,ecology,
drone,tools,
citizen science,tools,
dispersal kernel,tools,
kernel density,tools,
power law,tools,
allometry,tools,
population viability analysis,tools,
horizon scan,tools,
ecological modeling,tools,
species accumulation curve,tools,
correlation,tools,
causation,tools,
decision analysis,tools,
decision tree,tools,
rarefaction,tools,
Bayesian,tools,
machine learning,tools,
environmental impacts,tools,
GIS,tools,
structured decision making,tools,
remote sensing,tools,
environmental justice,social,
social ecological systems,social,
social data,social,
social marketing,social,
socio-environmental,social,
local ecological knowledge,social,
traditional ecological knowledge,social,
ecological economics,economic,
economic valuation,economic,
natural capital,economic,
indirect use value,economic,
tragedy of the commons,economic,
game theory,economic,
ecosystem services,economic,
valuation,economic,
ecosystem function,economic,
new conservation,OTHER,reassign to relevant group
old conservation,OTHER,reassign to relevant group
shifting baselines,OTHER,reassign to relevant group
historical baselines,OTHER,reassign to relevant group
countryside biogeography,urban_rural,
human-wildlife conflict,urban_rural,
rural,urban_rural,
agricultural,urban_rural,
agricultural lands,urban_rural,
working lands,urban_rural,
colonization,urban_rural,
land sea interface,urban_rural,
wildland urban interface,urban_rural,
urban ecology,urban_rural,
urban,urban_rural,
community gardens,urban_rural,
green roof,urban_rural,
evolutionary fitness,behavior,
optimal foraging,behavior,
optimal foraging theory,behavior,
diet optimization,behavior,
eusoiality,behavior,
mating systems,behavior,
handling time,behavior,
kin selection,behavior,
behavior,behavior,
collective behavior,behavior,
collective motion,behavior,
habitat,habitat,
succession,habitat,
primary succession,habitat,
secondary succession,habitat,
habitat mosaic,habitat,
patchiness,habitat,
habitat matrix,habitat,
resource limitation,breeding,
adaptive radiation,breeding,
adaptive crossover,breeding,
local adaptation,breeding,
adaptation,breeding,
natural selection,breeding,
inbreeding,breeding,
cross breeding,breeding,
breeding,breeding,
hybrid,breeding,
selection pressures,breeding,
k-selected,breeding,
r-selected,breeding,
r/k selection,breeding,
acclimation,breeding,
acclimatization,breeding,
ornithology,ecology,
mycology,ecology,
taxonomy,ecology,
mammalogy,ecology,
entomology,ecology,
botany,ecology,
herpetology,ecology,
epidemiology,ecology,
phycology,ecology,
icthyology,ecology,
limnology,ecology,
microbiome,OTHER,reassign to relevant group
microbe,OTHER,reassign to relevant group
mycorrhizae,OTHER,reassign to relevant group
fungi,OTHER,reassign to relevant group
aquaculture,working_habitats,
forestry,working_habitats,
fisheries,working_habitats,
hunting,working_habitats,
subsistence hunting,working_habitats,
overexploitation,working_habitats,
overfishing,working_habitats,
overharvesting,working_habitats,
complex adaptive system,population_biology,
neutral theory,population_biology,
equilibrium ,population_biology,
disequilibrium,population_biology,
non-equilibrium,population_biology,
source,population_biology,
sink,population_biology,
punctuated equilibrium,population_biology,
metapopulation,population_biology,
abundance,population_biology,
species abundance,population_biology,
population growth,population_biology,
population dynamics,population_biology,
effective population size,population_biology,
carrying capacity,population_biology,
recruitment,population_biology,
Beverton-Holt,population_biology,
Ricker,population_biology,
spawn ,population_biology,
spawning,population_biology,
population vulnerability,population_biology,
density dependence,population_biology,
boom bust,population_biology,
population cycles,population_biology,
corridors,population_biology,
biological corridors,population_biology,
connectivity,population_biology,
dispersal,population_biology,
dispersal limitation,population_biology,
immigration,population_biology,
emigration,population_biology,
range shifts,population_biology,
range expansion,population_biology,
reintroductions,management,
translocations,management,
relocations,management,
assisted migration,management,
refugia,management,
eco-friendly,conservation,
green washing,conservation,
conservation,conservation,
preservation,conservation,
environment,conservation,
natural history,conservation,reassign to relevant group
conservation success,conservation,
conservatino failure,conservation,
sustainability,conservation,
biological sustainable development,conservation,
sustainable development,conservation,
biophilia,conservation,
naturalist,conservation,reassign to relevant group
conservation ethic,conservation,
Holdrich's life zone,population_biology,
Whittaker life zone,population_biology,
fundamental niche,population_biology,
Hudsonian niche,population_biology,
Eltonian niche,population_biology,
Grenelain niche,population_biology,
range tolerance,population_biology,
physical tolerance,population_biology,
envelopes,population_biology,
thermal envelope,population_biology,
historical range variability,population_biology,
biogeography,biogeography,
realized niche,population_biology,
distribution,population_biology,
niche,population_biology,
range,population_biology,
zonation,community_ecology,
species are relaationship,community_ecology,
land cover change,human_impacts,
carbon sequestration,ecosystem_services,
carbon stocks,ecosystem_services,
land-use change,human_impacts,
fragmentation,human_impacts,
degredation,human_impacts,
deforestation,human_impacts,
global change,human_impacts,
global change biology,human_impacts,
habitat loss,human_impacts,
cumulative effects,human_impacts,
additive effects,human_impacts,
antagonistic effects,human_impacts,
interactive effects,human_impacts,
synergistic effects,human_impacts,
defuanation,disturbance,
extinction vortex,disturbance,
deextinction,disturbance,
extant,disturbance,
extinction debt,disturbance,
rewilading,disturbance,
population crash,disturbance,
mass mortality events ,disturbance,
population catastrophe,disturbance,
population collapse,disturbance,
population decline,disturbance,
black swan events,disturbance,
captive breeding,disturbance,
bottleneck,population_biology,
founder effects,population_biology,
allee effect,population_biology,
decompensation,population_biology,
minimum viable population,population_biology,
chaos,extinction_regimes_etc,
alternative stable states,extinction_regimes_etc,
tipping points,extinction_regimes_etc,
thresholds,extinction_regimes_etc,
phase shifts,extinction_regimes_etc,
catastrophes,extinction_regimes_etc,
mass mortality events ,extinction_regimes_etc,
heavy-tailed events,extinction_regimes_etc,
disturbance,extinction_regimes_etc,
red list ,extinction_regimes_etc,
endangered,extinction_regimes_etc,
extinction,extinction_regimes_etc,
at risk,extinction_regimes_etc,
anthropocene,extinction_regimes_etc,
decline,extinction_regimes_etc,
historesis,extinction_regimes_etc,
non-linear,extinction_regimes_etc,
interactions,extinction_regimes_etc,
erdatication,extinction_regimes_etc,
removal,extinction_regimes_etc,
extirpation,extinction_regimes_etc,
regime shift,extinction_regimes_etc,
population persistence,extinction_regimes_etc,
defaunation,extinction_regimes_etc,
biodiversity hotspots,diversity,
richness,diversity,
alpha diversity,diversity,
biodiversity,diversity,
genetic diversity,diversity,
beta diversity,diversity,
gamma diversity,diversity,
dark diversity,diversity,
hidden diversity,diversity,
diversity stability,diversity,
portfolia effect,diversity,
synchrony,diversity,
response diversity,diversity,
resilience,diversity,
resistance,diversity,
climate change ,climate_change,human_impacts (same as above) OR climate_change
global warming,climate_change,
sea-level rise,climate_change,
ozone,climate_change,
climatic extremes,climate_change,
extreme climatic events,climate_change,
greenhouse gas,climate_change,
greenhouse effect,climate_change,
climate refugia,climate_change,
emissions,climate_change,
ocean acidification,climate_change,
climatic variation,climate_change,
ozone,climate_change,
urban heat island effect,climate_change,
climate velocity,climate_change,
pace of climate change,climate_change,
weather extremes,climate_change,
antropogenic climate change,climate_change,
acid rain,success stories,pollution?
pollution ,success stories,
runoff,success stories,
bioaccumulation,success stories,
DDT,success stories,
Ivory,success stories,how is this in the same category?
bushmeat,success stories,how is this in the same category?
climax community ,disturbance,disturbance? (already a category above)
environmental stress,disturbance,
environmental threats,disturbance,
 environmental stress gradient,disturbance,
stress gradient,disturbance,
gradient,disturbance,
ecotone,disturbance,
phase transition,disturbance,
press disturbance,disturbance,
pulse disturbance,disturbance,
intermediate disturbance hypothesis,disturbance,
foundation species,disturbance,
Abundant center hypothesis,disturbance,
ecology of fear,trophic_structure,
parasitism,trophic_structure,
predation,trophic_structure,
energy flow,trophic_structure,
trophic level,trophic_structure,
herbivory,trophic_structure,
carnivore,trophic_structure,
herbivore,trophic_structure,
primary producer,trophic_structure,
secondary producer,trophic_structure,
autotroph,trophic_structure,
heterotroph,trophic_structure,
green world hypothesis,trophic_structure,
trophic cascade,trophic_structure,
competitive release,trophic_structure,
competitive exclusion,trophic_structure,
top-down,trophic_structure,
bottom-up,trophic_structure,
trophic downgrading,trophic_structure,
linkages,trophic_structure,
trophic linkages,trophic_structure,
oligotrophic,trophic_structure,
mesotrophic,trophic_structure,
trophic rewilding,trophic_structure,
functional redundancy,trophic_structure,
trophic compensation,trophic_structure,
trophic composition,trophic_structure,
ecological meltdown,trophic_structure,
heterogeneity,diversity_variability,
alpha variability,diversity_variability,
beta variability ,diversity_variability,
gamma variability,diversity_variability,
functional diversity,diversity_variability,
taxonomic diversity ,diversity_variability,
phylogenetic diversity,diversity_variability,
evenness ,diversity_variability,
biodiversity ,diversity_variability,
ecosystem function,diversity_variability,
