gram
amsmath amsxtra
declaretextfontcommand textcyr
documentclass aastex
end document
newcommand cyr
pagestyle empty
portland xspace
renewcommand encodingdefault
renewcommand rmdefault
renewcommand sfdefault
textcyr cyr
usepackage amsbsy
usepackage amsfonts
usepackage amsmath
usepackage amssymb
usepackage bm
usepackage mathrsfs
usepackage pifont
usepackage portland
usepackage stmaryrd
usepackage textcomp
document landscape
aastex usepackage
amsbsy usepackage
amsfonts usepackage
amssymb usepackage
amsxtra usepackage
bm usepackage
cyr pagestyle
cyr renewcommand
mathrsfs usepackage
normalfont selectfont
pifont usepackage
selectfont declaretextfontcommand
stmaryrd usepackage
textcomp usepackage
xspace usepackage
fontenc newcommand
