order,panel,gram,gram_canonical
1,Birth of conservation,conservation,conservation
,Birth of conservation,restoration,restoration
,Birth of conservation,preservation,preservation
,Birth of conservation,natural history,natural history
2,Threats to biodiversity,climate change,climate change
,Threats to biodiversity,climatic change,climate change
,Threats to biodiversity,overexploitation,overexploitation
,Threats to biodiversity,overharvest,overexploitation
,Threats to biodiversity,invasive,invasive species
,Threats to biodiversity,invasive species,invasive species
,Threats to biodiversity,land use change,habitat loss
,Threats to biodiversity,landuse change,habitat loss
,Threats to biodiversity,land cover change,habitat loss
,Threats to biodiversity,habitat loss,habitat loss
,Threats to biodiversity,land conversion,habitat loss
,Threats to biodiversity,habitat conversion,habitat loss
,Threats to biodiversity,habitat destruction,habitat loss
,Threats to biodiversity,habitat degradation,habitat loss
,Threats to biodiversity,land use conversion,habitat loss
,Threats to biodiversity,landuse conversion,habitat loss
,Threats to biodiversity,land conversion,habitat loss
,Threats to biodiversity,pollution,pollution
,Threats to biodiversity,overpopulation,overpopulation
,Threats to biodiversity,human population growth,overpopulation
3,Climate change impacts,climate extremes,climate extremes
,Climate change impacts,climate extreme,climate extremes
,Climate change impacts,weather extremes,climate extremes
,Climate change impacts,weather extreme,climate extremes
,Climate change impacts,extreme climatic events,climate extremes
,Climate change impacts,extreme climatic event,climate extremes
,Climate change impacts,extreme weather events,climate extremes
,Climate change impacts,extreme weather event,climate extremes
,Climate change impacts,phenological shift,phenological shifts
,Climate change impacts,phenological shifts,phenological shifts
,Climate change impacts,phenology change,phenological shifts
,Climate change impacts,phenological change,phenological shifts
,Climate change impacts,phenology asynchrony,phenological shifts
,Climate change impacts,phenological asynchrony,phenological shifts
,Climate change impacts,phenological disruption,phenological shifts
,Climate change impacts,phenology disruption,phenological shifts
,Climate change impacts,range shifts,range shifts
,Climate change impacts,range shift,range shifts
,Climate change impacts,bleaching,bleaching
,Climate change impacts,ozone,ozone
,Climate change impacts,ozonosphere,ozone
,Climate change impacts,ocean acidification,ocean acidification
,Climate change impacts,sea level rise,sea level rise
,Climate change impacts,sealevel rise,sea level rise
,Climate change impacts,ocean level rise,sea level rise
,Climate change impacts,sea level change,sea level rise
,Climate change impacts,sealevel change,sea level rise
,Climate change impacts,regime shift,regime shift
,Climate change impacts,regime shifts,regime shift
,Climate change impacts,alternative state,regime shift
,Climate change impacts,alternative stable state,regime shift
,Climate change impacts,global warming,global warming
4,Consequences to species/landscapes,disturbance,disturbance
,Consequences to species/landscapes,disturbances,disturbance
,Consequences to species/landscapes,habitat fragmentation,fragmentation
,Consequences to species/landscapes,habitat patchiness,fragmentation
,Consequences to species/landscapes,fragmentation,fragmentation
,Consequences to species/landscapes,deforestation,deforestation
,Consequences to species/landscapes,clearcutting,deforestation
,Consequences to species/landscapes,clear cutting,deforestation
,Consequences to species/landscapes,deforestation,deforestation
,Consequences to species/landscapes,urbanization,urbanization
,Consequences to species/landscapes,urban expansion,urbanization
,Consequences to species/landscapes,urban sprawl,urbanization
,Consequences to species/landscapes,urban growth,urbanization
,Consequences to species/landscapes,extinction,extinction
,Consequences to species/landscapes,extinctions,extinction
5,Species/resource exploitation,fishing,fishing
,Species/resource exploitation,overfishing,fishing
,Species/resource exploitation,over fishing,fishing
,Species/resource exploitation,harvesting,harvesting/collecting
,Species/resource exploitation,overharvesting,harvesting/collecting
,Species/resource exploitation,over collecting,harvesting/collecting
,Species/resource exploitation,over harvesting,harvesting/collecting
,Species/resource exploitation,hunting,hunting
,Species/resource exploitation,over hunting,hunting
,Species/resource exploitation,overhunting,hunting
,Species/resource exploitation,poaching,poaching
,Species/resource exploitation,logging,logging
,Species/resource exploitation,clearcutting,logging
,Species/resource exploitation,clear cutting,logging
,Species/resource exploitation,mining,mining
,Species/resource exploitation,fracking,mining
6,Geographic protection,reserve,reserve
,Geographic protection,reserves,reserve
,Geographic protection,preserve,preserve
,Geographic protection,preserves,preserve
,Geographic protection,park,park
,Geographic protection,parks,park
,Geographic protection,parkland,park
,Geographic protection,parklands,park
,Geographic protection,restoration,restoration
,Geographic protection,afforestation,restoration
,Geographic protection,reforestation,restoration
,Geographic protection,protected area,protected area
,Geographic protection,protected areas,protected area
,Geographic protection,PA,protected area
,Geographic protection,PAs,protected area
,Geographic protection,MPA,marine protected area
,Geographic protection,MPAs,marine protected area
,Geographic protection,marine protected area,marine protected area
,Geographic protection,marine protected areas,marine protected area
