order,panel,gram,gram_canonical
1,Scale,gene,gene
,Scale,cell,cell
,Scale,species,species
,Scale,population,population
,Scale,individual,individual
,Scale,community,community
,Scale,ecosystem,ecosystem
,Scale,metapopulation,metapopulation
2,Scale sans species,gene,gene
,Scale sans species,cell,cell
,Scale sans species,population,population
,Scale sans species,individual,individual
,Scale sans species,community,community
,Scale sans species,ecosystem,ecosystem
,Scale sans species,metapopulation,metapopulation
3,Metrics,richness,richness
,Metrics,evenness,evenness
,Metrics,diversity,diversity
4,Theories,niche,niche
,Theories,climax community,climax community
,Theories,island biogeography,island biogeography
,Theories,neutral theory,neutral theory
,Theories,natural selection,natural selection
,Theories,succession,succession
5,Types of interactions,predation,predation
,Types of interactions,competition,competition
,Types of interactions,commensalism,commensalism
,Types of interactions,parasitism,parasitism
,Types of interactions,mutualism,mutualism
,Types of interactions,intraspecific,intraspecific
,Types of interactions,interspecific,interspecific
6,Old community panel,community structure,community structure
,Old community panel,top down,top down
,Old community panel,bottom up,bottom up
,Old community panel,community assembly,community assembly
,Old community panel,neutral theory,neutral theory
,Old community panel,climax community,climax community
,Old community panel,niche theory,niche theory
