year,panel,gram_canonical,total_words,total
1920,1: Birth of conservation,conservation,1238345,11
1921,1: Birth of conservation,conservation,1161623,18
1922,1: Birth of conservation,conservation,1227253,7
1923,1: Birth of conservation,conservation,1410471,11
1924,1: Birth of conservation,conservation,1420599,11
1925,1: Birth of conservation,conservation,1665928,14
1926,1: Birth of conservation,conservation,1904958,12
1927,1: Birth of conservation,conservation,1785362,16
1928,1: Birth of conservation,conservation,1938784,15
1929,1: Birth of conservation,conservation,1953262,12
1930,1: Birth of conservation,conservation,2111981,12
1931,1: Birth of conservation,conservation,2434124,23
1932,1: Birth of conservation,conservation,2400513,14
1933,1: Birth of conservation,conservation,2136969,17
1934,1: Birth of conservation,conservation,2445175,30
1935,1: Birth of conservation,conservation,2536260,27
1936,1: Birth of conservation,conservation,2751507,36
1937,1: Birth of conservation,conservation,2976473,53
1938,1: Birth of conservation,conservation,2886297,121
1939,1: Birth of conservation,conservation,2840157,103
1940,1: Birth of conservation,conservation,3000307,132
1941,1: Birth of conservation,conservation,2759525,123
1942,1: Birth of conservation,conservation,2730695,136
1943,1: Birth of conservation,conservation,2367394,132
1944,1: Birth of conservation,conservation,2209069,260
1945,1: Birth of conservation,conservation,2185186,94
1946,1: Birth of conservation,conservation,2461581,131
1947,1: Birth of conservation,conservation,2615111,163
1948,1: Birth of conservation,conservation,2631628,119
1949,1: Birth of conservation,conservation,2804409,129
1950,1: Birth of conservation,conservation,3153253,151
1951,1: Birth of conservation,conservation,3011208,114
1952,1: Birth of conservation,conservation,3139138,127
1953,1: Birth of conservation,conservation,3184772,225
1954,1: Birth of conservation,conservation,3649078,198
1955,1: Birth of conservation,conservation,3555386,208
1956,1: Birth of conservation,conservation,3699565,189
1957,1: Birth of conservation,conservation,3689751,135
1958,1: Birth of conservation,conservation,3814339,137
1959,1: Birth of conservation,conservation,3621589,135
1960,1: Birth of conservation,conservation,3934513,181
1961,1: Birth of conservation,conservation,4042372,100
1962,1: Birth of conservation,conservation,4017454,189
1963,1: Birth of conservation,conservation,4556693,206
1964,1: Birth of conservation,conservation,5158453,297
1965,1: Birth of conservation,conservation,5234257,250
1966,1: Birth of conservation,conservation,5493607,159
1967,1: Birth of conservation,conservation,6000525,199
1968,1: Birth of conservation,conservation,6521402,412
1969,1: Birth of conservation,conservation,7381164,221
1970,1: Birth of conservation,conservation,7236804,205
1971,1: Birth of conservation,conservation,7864657,241
1972,1: Birth of conservation,conservation,7915372,272
1973,1: Birth of conservation,conservation,8425604,323
1974,1: Birth of conservation,conservation,8556640,316
1975,1: Birth of conservation,conservation,9162777,379
1976,1: Birth of conservation,conservation,9429413,551
1977,1: Birth of conservation,conservation,10649032,897
1978,1: Birth of conservation,conservation,10558723,555
1979,1: Birth of conservation,conservation,10786566,588
1980,1: Birth of conservation,conservation,11619305,627
1981,1: Birth of conservation,conservation,12165346,655
1982,1: Birth of conservation,conservation,12314218,958
1983,1: Birth of conservation,conservation,12706096,918
1984,1: Birth of conservation,conservation,13379542,1108
1985,1: Birth of conservation,conservation,14023196,1070
1986,1: Birth of conservation,conservation,13255908,1226
1987,1: Birth of conservation,conservation,14598709,2454
1988,1: Birth of conservation,conservation,15573940,2599
1989,1: Birth of conservation,conservation,15966033,2962
1990,1: Birth of conservation,conservation,16534942,3059
1991,1: Birth of conservation,conservation,17585954,3485
1992,1: Birth of conservation,conservation,18582976,4805
1993,1: Birth of conservation,conservation,19158560,6064
1994,1: Birth of conservation,conservation,20273048,7593
1995,1: Birth of conservation,conservation,21582533,9473
1996,1: Birth of conservation,conservation,23433482,11600
1997,1: Birth of conservation,conservation,24142578,9638
1998,1: Birth of conservation,conservation,26454637,11964
1999,1: Birth of conservation,conservation,26387547,12877
2000,1: Birth of conservation,conservation,28146960,14439
2001,1: Birth of conservation,conservation,30114953,15929
2002,1: Birth of conservation,conservation,29304753,15798
2003,1: Birth of conservation,conservation,30981377,18015
2004,1: Birth of conservation,conservation,31953113,19160
2005,1: Birth of conservation,conservation,34738168,22540
2006,1: Birth of conservation,conservation,36837237,26306
2007,1: Birth of conservation,conservation,36641945,25170
2008,1: Birth of conservation,conservation,39330183,28256
2009,1: Birth of conservation,conservation,40377665,26153
2010,1: Birth of conservation,conservation,38030234,27864
2011,1: Birth of conservation,conservation,39815988,27573
1920,1: Birth of conservation,preservation,1238345,32
1921,1: Birth of conservation,preservation,1161623,50
1922,1: Birth of conservation,preservation,1227253,14
1923,1: Birth of conservation,preservation,1410471,44
1924,1: Birth of conservation,preservation,1420599,46
1925,1: Birth of conservation,preservation,1665928,67
1926,1: Birth of conservation,preservation,1904958,34
1927,1: Birth of conservation,preservation,1785362,39
1928,1: Birth of conservation,preservation,1938784,42
1929,1: Birth of conservation,preservation,1953262,42
1930,1: Birth of conservation,preservation,2111981,76
1931,1: Birth of conservation,preservation,2434124,62
1932,1: Birth of conservation,preservation,2400513,69
1933,1: Birth of conservation,preservation,2136969,65
1934,1: Birth of conservation,preservation,2445175,47
1935,1: Birth of conservation,preservation,2536260,77
1936,1: Birth of conservation,preservation,2751507,47
1937,1: Birth of conservation,preservation,2976473,72
1938,1: Birth of conservation,preservation,2886297,52
1939,1: Birth of conservation,preservation,2840157,35
1940,1: Birth of conservation,preservation,3000307,51
1941,1: Birth of conservation,preservation,2759525,50
1942,1: Birth of conservation,preservation,2730695,51
1943,1: Birth of conservation,preservation,2367394,24
1944,1: Birth of conservation,preservation,2209069,138
1945,1: Birth of conservation,preservation,2185186,66
1946,1: Birth of conservation,preservation,2461581,47
1947,1: Birth of conservation,preservation,2615111,88
1948,1: Birth of conservation,preservation,2631628,55
1949,1: Birth of conservation,preservation,2804409,38
1950,1: Birth of conservation,preservation,3153253,96
1951,1: Birth of conservation,preservation,3011208,65
1952,1: Birth of conservation,preservation,3139138,60
1953,1: Birth of conservation,preservation,3184772,61
1954,1: Birth of conservation,preservation,3649078,68
1955,1: Birth of conservation,preservation,3555386,97
1956,1: Birth of conservation,preservation,3699565,57
1957,1: Birth of conservation,preservation,3689751,119
1958,1: Birth of conservation,preservation,3814339,60
1959,1: Birth of conservation,preservation,3621589,98
1960,1: Birth of conservation,preservation,3934513,167
1961,1: Birth of conservation,preservation,4042372,75
1962,1: Birth of conservation,preservation,4017454,67
1963,1: Birth of conservation,preservation,4556693,85
1964,1: Birth of conservation,preservation,5158453,158
1965,1: Birth of conservation,preservation,5234257,128
1966,1: Birth of conservation,preservation,5493607,112
1967,1: Birth of conservation,preservation,6000525,344
1968,1: Birth of conservation,preservation,6521402,261
1969,1: Birth of conservation,preservation,7381164,130
1970,1: Birth of conservation,preservation,7236804,124
1971,1: Birth of conservation,preservation,7864657,147
1972,1: Birth of conservation,preservation,7915372,156
1973,1: Birth of conservation,preservation,8425604,167
1974,1: Birth of conservation,preservation,8556640,142
1975,1: Birth of conservation,preservation,9162777,187
1976,1: Birth of conservation,preservation,9429413,204
1977,1: Birth of conservation,preservation,10649032,228
1978,1: Birth of conservation,preservation,10558723,229
1979,1: Birth of conservation,preservation,10786566,269
1980,1: Birth of conservation,preservation,11619305,237
1981,1: Birth of conservation,preservation,12165346,320
1982,1: Birth of conservation,preservation,12314218,257
1983,1: Birth of conservation,preservation,12706096,307
1984,1: Birth of conservation,preservation,13379542,229
1985,1: Birth of conservation,preservation,14023196,645
1986,1: Birth of conservation,preservation,13255908,240
1987,1: Birth of conservation,preservation,14598709,354
1988,1: Birth of conservation,preservation,15573940,345
1989,1: Birth of conservation,preservation,15966033,372
1990,1: Birth of conservation,preservation,16534942,407
1991,1: Birth of conservation,preservation,17585954,566
1992,1: Birth of conservation,preservation,18582976,444
1993,1: Birth of conservation,preservation,19158560,528
1994,1: Birth of conservation,preservation,20273048,541
1995,1: Birth of conservation,preservation,21582533,670
1996,1: Birth of conservation,preservation,23433482,638
1997,1: Birth of conservation,preservation,24142578,633
1998,1: Birth of conservation,preservation,26454637,676
1999,1: Birth of conservation,preservation,26387547,812
2000,1: Birth of conservation,preservation,28146960,647
2001,1: Birth of conservation,preservation,30114953,758
2002,1: Birth of conservation,preservation,29304753,545
2003,1: Birth of conservation,preservation,30981377,734
2004,1: Birth of conservation,preservation,31953113,896
2005,1: Birth of conservation,preservation,34738168,824
2006,1: Birth of conservation,preservation,36837237,838
2007,1: Birth of conservation,preservation,36641945,831
2008,1: Birth of conservation,preservation,39330183,883
2009,1: Birth of conservation,preservation,40377665,850
2010,1: Birth of conservation,preservation,38030234,881
2011,1: Birth of conservation,preservation,39815988,889
1920,1: Birth of conservation,restoration,1238345,18
1921,1: Birth of conservation,restoration,1161623,6
1922,1: Birth of conservation,restoration,1227253,6
1923,1: Birth of conservation,restoration,1410471,3
1924,1: Birth of conservation,restoration,1420599,31
1925,1: Birth of conservation,restoration,1665928,8
1926,1: Birth of conservation,restoration,1904958,30
1927,1: Birth of conservation,restoration,1785362,10
1928,1: Birth of conservation,restoration,1938784,12
1929,1: Birth of conservation,restoration,1953262,17
1930,1: Birth of conservation,restoration,2111981,16
1931,1: Birth of conservation,restoration,2434124,34
1932,1: Birth of conservation,restoration,2400513,26
1933,1: Birth of conservation,restoration,2136969,30
1934,1: Birth of conservation,restoration,2445175,22
1935,1: Birth of conservation,restoration,2536260,36
1936,1: Birth of conservation,restoration,2751507,22
1937,1: Birth of conservation,restoration,2976473,63
1938,1: Birth of conservation,restoration,2886297,31
1939,1: Birth of conservation,restoration,2840157,28
1940,1: Birth of conservation,restoration,3000307,36
1941,1: Birth of conservation,restoration,2759525,38
1942,1: Birth of conservation,restoration,2730695,74
1943,1: Birth of conservation,restoration,2367394,16
1944,1: Birth of conservation,restoration,2209069,26
1945,1: Birth of conservation,restoration,2185186,41
1946,1: Birth of conservation,restoration,2461581,25
1947,1: Birth of conservation,restoration,2615111,29
1948,1: Birth of conservation,restoration,2631628,18
1949,1: Birth of conservation,restoration,2804409,35
1950,1: Birth of conservation,restoration,3153253,27
1951,1: Birth of conservation,restoration,3011208,37
1952,1: Birth of conservation,restoration,3139138,28
1953,1: Birth of conservation,restoration,3184772,26
1954,1: Birth of conservation,restoration,3649078,36
1955,1: Birth of conservation,restoration,3555386,27
1956,1: Birth of conservation,restoration,3699565,43
1957,1: Birth of conservation,restoration,3689751,37
1958,1: Birth of conservation,restoration,3814339,43
1959,1: Birth of conservation,restoration,3621589,39
1960,1: Birth of conservation,restoration,3934513,44
1961,1: Birth of conservation,restoration,4042372,71
1962,1: Birth of conservation,restoration,4017454,51
1963,1: Birth of conservation,restoration,4556693,51
1964,1: Birth of conservation,restoration,5158453,126
1965,1: Birth of conservation,restoration,5234257,98
1966,1: Birth of conservation,restoration,5493607,74
1967,1: Birth of conservation,restoration,6000525,93
1968,1: Birth of conservation,restoration,6521402,72
1969,1: Birth of conservation,restoration,7381164,68
1970,1: Birth of conservation,restoration,7236804,114
