year,panel,gram_canonical,total_words,total
1920,1: Scale,cell,1238345,2105
1921,1: Scale,cell,1161623,1361
1922,1: Scale,cell,1227253,1936
1923,1: Scale,cell,1410471,1891
1924,1: Scale,cell,1420599,1472
1925,1: Scale,cell,1665928,2059
1926,1: Scale,cell,1904958,3547
1927,1: Scale,cell,1785362,2779
1928,1: Scale,cell,1938784,2219
1929,1: Scale,cell,1953262,2703
1930,1: Scale,cell,2111981,3057
1931,1: Scale,cell,2434124,2346
1932,1: Scale,cell,2400513,3038
1933,1: Scale,cell,2136969,2273
1934,1: Scale,cell,2445175,2155
1935,1: Scale,cell,2536260,3631
1936,1: Scale,cell,2751507,3538
1937,1: Scale,cell,2976473,3326
1938,1: Scale,cell,2886297,3204
1939,1: Scale,cell,2840157,4147
1940,1: Scale,cell,3000307,3622
1941,1: Scale,cell,2759525,3460
1942,1: Scale,cell,2730695,3654
1943,1: Scale,cell,2367394,2741
1944,1: Scale,cell,2209069,2528
1945,1: Scale,cell,2185186,2031
1946,1: Scale,cell,2461581,2597
1947,1: Scale,cell,2615111,2215
1948,1: Scale,cell,2631628,2954
1949,1: Scale,cell,2804409,3268
1950,1: Scale,cell,3153253,3190
1951,1: Scale,cell,3011208,3263
1952,1: Scale,cell,3139138,3611
1953,1: Scale,cell,3184772,3491
1954,1: Scale,cell,3649078,3886
1955,1: Scale,cell,3555386,3807
1956,1: Scale,cell,3699565,4623
1957,1: Scale,cell,3689751,3594
1958,1: Scale,cell,3814339,3816
1959,1: Scale,cell,3621589,3740
1960,1: Scale,cell,3934513,5215
1961,1: Scale,cell,4042372,4533
1962,1: Scale,cell,4017454,5605
1963,1: Scale,cell,4556693,5179
1964,1: Scale,cell,5158453,5520
1965,1: Scale,cell,5234257,5883
1966,1: Scale,cell,5493607,6534
1967,1: Scale,cell,6000525,5634
1968,1: Scale,cell,6521402,6624
1969,1: Scale,cell,7381164,8588
1970,1: Scale,cell,7236804,8507
1971,1: Scale,cell,7864657,9392
1972,1: Scale,cell,7915372,8125
1973,1: Scale,cell,8425604,9370
1974,1: Scale,cell,8556640,9501
1975,1: Scale,cell,9162777,9336
1976,1: Scale,cell,9429413,10235
1977,1: Scale,cell,10649032,9579
1978,1: Scale,cell,10558723,9872
1979,1: Scale,cell,10786566,10034
1980,1: Scale,cell,11619305,11238
1981,1: Scale,cell,12165346,11419
1982,1: Scale,cell,12314218,11938
1983,1: Scale,cell,12706096,10586
1984,1: Scale,cell,13379542,12214
1985,1: Scale,cell,14023196,13287
1986,1: Scale,cell,13255908,11266
1987,1: Scale,cell,14598709,12574
1988,1: Scale,cell,15573940,9935
1989,1: Scale,cell,15966033,11742
1990,1: Scale,cell,16534942,11963
1991,1: Scale,cell,17585954,10269
1992,1: Scale,cell,18582976,12346
1993,1: Scale,cell,19158560,12573
1994,1: Scale,cell,20273048,13404
1995,1: Scale,cell,21582533,12819
1996,1: Scale,cell,23433482,13337
1997,1: Scale,cell,24142578,12478
1998,1: Scale,cell,26454637,12870
1999,1: Scale,cell,26387547,13334
2000,1: Scale,cell,28146960,16268
2001,1: Scale,cell,30114953,16478
2002,1: Scale,cell,29304753,13391
2003,1: Scale,cell,30981377,15933
2004,1: Scale,cell,31953113,15799
2005,1: Scale,cell,34738168,18943
2006,1: Scale,cell,36837237,17666
2007,1: Scale,cell,36641945,17914
2008,1: Scale,cell,39330183,21697
2009,1: Scale,cell,40377665,19593
2010,1: Scale,cell,38030234,20331
2011,1: Scale,cell,39815988,26186
1920,1: Scale,community,1238345,103
1921,1: Scale,community,1161623,68
1922,1: Scale,community,1227253,78
1923,1: Scale,community,1410471,124
1924,1: Scale,community,1420599,47
1925,1: Scale,community,1665928,31
1926,1: Scale,community,1904958,145
1927,1: Scale,community,1785362,122
1928,1: Scale,community,1938784,214
1929,1: Scale,community,1953262,205
1930,1: Scale,community,2111981,300
1931,1: Scale,community,2434124,366
1932,1: Scale,community,2400513,414
