year,panel,gram_canonical,total_words,total
1973,1: Interventions,alternative livelihoods,8425604,1
1988,1: Interventions,alternative livelihoods,15573940,2
1990,1: Interventions,alternative livelihoods,16534942,1
1991,1: Interventions,alternative livelihoods,17585954,2
1992,1: Interventions,alternative livelihoods,18582976,1
1993,1: Interventions,alternative livelihoods,19158560,3
1994,1: Interventions,alternative livelihoods,20273048,2
1995,1: Interventions,alternative livelihoods,21582533,4
1996,1: Interventions,alternative livelihoods,23433482,2
1997,1: Interventions,alternative livelihoods,24142578,7
1998,1: Interventions,alternative livelihoods,26454637,5
1999,1: Interventions,alternative livelihoods,26387547,3
2000,1: Interventions,alternative livelihoods,28146960,6
2001,1: Interventions,alternative livelihoods,30114953,2
2002,1: Interventions,alternative livelihoods,29304753,6
2003,1: Interventions,alternative livelihoods,30981377,4
2004,1: Interventions,alternative livelihoods,31953113,10
2005,1: Interventions,alternative livelihoods,34738168,18
2006,1: Interventions,alternative livelihoods,36837237,9
2007,1: Interventions,alternative livelihoods,36641945,6
2008,1: Interventions,alternative livelihoods,39330183,29
2009,1: Interventions,alternative livelihoods,40377665,16
2010,1: Interventions,alternative livelihoods,38030234,58
2011,1: Interventions,alternative livelihoods,39815988,19
1920,1: Interventions,certification,1238345,1
1921,1: Interventions,certification,1161623,1
1922,1: Interventions,certification,1227253,1
1924,1: Interventions,certification,1420599,1
1925,1: Interventions,certification,1665928,1
1926,1: Interventions,certification,1904958,1
1930,1: Interventions,certification,2111981,3
1931,1: Interventions,certification,2434124,1
1932,1: Interventions,certification,2400513,4
1934,1: Interventions,certification,2445175,2
1936,1: Interventions,certification,2751507,1
1937,1: Interventions,certification,2976473,15
1938,1: Interventions,certification,2886297,1
1943,1: Interventions,certification,2367394,5
1944,1: Interventions,certification,2209069,2
1946,1: Interventions,certification,2461581,7
1947,1: Interventions,certification,2615111,1
1948,1: Interventions,certification,2631628,4
1950,1: Interventions,certification,3153253,3
1951,1: Interventions,certification,3011208,1
1952,1: Interventions,certification,3139138,1
1953,1: Interventions,certification,3184772,44
1954,1: Interventions,certification,3649078,5
1956,1: Interventions,certification,3699565,3
1957,1: Interventions,certification,3689751,6
1958,1: Interventions,certification,3814339,8
1959,1: Interventions,certification,3621589,3
1960,1: Interventions,certification,3934513,22
1961,1: Interventions,certification,4042372,52
1962,1: Interventions,certification,4017454,7
1963,1: Interventions,certification,4556693,14
1964,1: Interventions,certification,5158453,16
1965,1: Interventions,certification,5234257,7
1966,1: Interventions,certification,5493607,6
1968,1: Interventions,certification,6521402,3
1969,1: Interventions,certification,7381164,14
1970,1: Interventions,certification,7236804,6
1971,1: Interventions,certification,7864657,10
1972,1: Interventions,certification,7915372,6
1973,1: Interventions,certification,8425604,5
1974,1: Interventions,certification,8556640,5
1975,1: Interventions,certification,9162777,2
1976,1: Interventions,certification,9429413,7
1977,1: Interventions,certification,10649032,13
1978,1: Interventions,certification,10558723,10
1979,1: Interventions,certification,10786566,11
1980,1: Interventions,certification,11619305,31
1981,1: Interventions,certification,12165346,27
1982,1: Interventions,certification,12314218,53
1983,1: Interventions,certification,12706096,148
1984,1: Interventions,certification,13379542,45
1985,1: Interventions,certification,14023196,34
1986,1: Interventions,certification,13255908,27
1987,1: Interventions,certification,14598709,55
1988,1: Interventions,certification,15573940,42
1989,1: Interventions,certification,15966033,25
1990,1: Interventions,certification,16534942,36
1991,1: Interventions,certification,17585954,45
1992,1: Interventions,certification,18582976,90
1993,1: Interventions,certification,19158560,97
1994,1: Interventions,certification,20273048,163
1995,1: Interventions,certification,21582533,162
1996,1: Interventions,certification,23433482,289
1997,1: Interventions,certification,24142578,159
1998,1: Interventions,certification,26454637,213
1999,1: Interventions,certification,26387547,320
2000,1: Interventions,certification,28146960,305
2001,1: Interventions,certification,30114953,380
2002,1: Interventions,certification,29304753,376
2003,1: Interventions,certification,30981377,381
2004,1: Interventions,certification,31953113,480
2005,1: Interventions,certification,34738168,384
2006,1: Interventions,certification,36837237,322
2007,1: Interventions,certification,36641945,580
2008,1: Interventions,certification,39330183,570
2009,1: Interventions,certification,40377665,379
2010,1: Interventions,certification,38030234,441
2011,1: Interventions,certification,39815988,609
1992,1: Interventions,community-based management,18582976,1
1993,1: Interventions,community-based management,19158560,4
1995,1: Interventions,community-based management,21582533,17
1996,1: Interventions,community-based management,23433482,12
1997,1: Interventions,community-based management,24142578,12
1998,1: Interventions,community-based management,26454637,32
1999,1: Interventions,community-based management,26387547,91
2000,1: Interventions,community-based management,28146960,31
