gram,sum_total,panel
the null hypothesis,9385,hypothesis
test the hypothesis,4413,hypothesis
support the hypothesis,3847,hypothesis
with the hypothesis,3697,hypothesis
of the hypothesis,2635,hypothesis
test this hypothesis,2592,hypothesis
of this hypothesis,2094,hypothesis
tested the hypothesis,1970,hypothesis
to the hypothesis,1617,hypothesis
supports the hypothesis,1533,hypothesis
for the hypothesis,1375,hypothesis
an alternative hypothesis,1176,hypothesis
support this hypothesis,1083,hypothesis
a null hypothesis,1064,hypothesis
with this hypothesis,927,hypothesis
for this hypothesis,921,hypothesis
the alternative hypothesis,857,hypothesis
the first hypothesis,818,hypothesis
to this hypothesis,806,hypothesis
the second hypothesis,764,hypothesis
a general hypothesis,733,hypothesis
intermediate disturbance hypothesis,723,hypothesis
tested this hypothesis,692,hypothesis
a new hypothesis,562,hypothesis
on the hypothesis,556,hypothesis
supporting the hypothesis,556,hypothesis
reject the hypothesis,519,hypothesis
testing the hypothesis,488,hypothesis
a working hypothesis,449,hypothesis
enemy release hypothesis,392,hypothesis
if this hypothesis,377,hypothesis
under the hypothesis,376,hypothesis
red queen hypothesis,365,hypothesis
supported the hypothesis,352,hypothesis
by the hypothesis,351,hypothesis
trade off hypothesis,346,hypothesis
resource ratio hypothesis,334,hypothesis
satellite species hypothesis,329,hypothesis
under this hypothesis,326,hypothesis
with our hypothesis,325,hypothesis
the latter hypothesis,324,hypothesis
nutrient balance hypothesis,323,hypothesis
that the hypothesis,320,hypothesis
the predation hypothesis,311,hypothesis
such a hypothesis,308,hypothesis
supports this hypothesis,296,hypothesis
our first hypothesis,294,hypothesis
the above hypothesis,293,hypothesis
to our hypothesis,293,hypothesis
if the hypothesis,288,hypothesis
our second hypothesis,285,hypothesis
the insurance hypothesis,278,hypothesis
and the hypothesis,276,hypothesis
the third hypothesis,276,hypothesis
however this hypothesis,275,hypothesis
testing this hypothesis,270,hypothesis
size efficiency hypothesis,268,hypothesis
of a hypothesis,267,hypothesis
plant vigor hypothesis,265,hypothesis
core satellite hypothesis,253,hypothesis
the general hypothesis,253,hypothesis
resource availability hypothesis,250,hypothesis
that this hypothesis,245,hypothesis
of our hypothesis,238,hypothesis
the competition hypothesis,235,hypothesis
on this hypothesis,218,hypothesis
the cnb hypothesis,218,hypothesis
against the hypothesis,217,hypothesis
the following hypothesis,217,hypothesis
sexy son hypothesis,210,hypothesis
janzen connell hypothesis,208,hypothesis
a priori hypothesis,207,hypothesis
from the hypothesis,207,hypothesis
the working hypothesis,205,hypothesis
a phylogenetic hypothesis,203,hypothesis
our initial hypothesis,203,hypothesis
examine the hypothesis,198,hypothesis
test our hypothesis,198,hypothesis
our null hypothesis,197,hypothesis
tests the hypothesis,197,hypothesis
support our hypothesis,194,hypothesis
random sample hypothesis,192,hypothesis
resource concentration hypothesis,192,hypothesis
evaluate the hypothesis,191,hypothesis
the escape hypothesis,189,hypothesis
species pool hypothesis,184,hypothesis
the chitty hypothesis,184,hypothesis
a second hypothesis,183,hypothesis
immunocompetence handicap hypothesis,178,hypothesis
supporting this hypothesis,177,hypothesis
the original hypothesis,174,hypothesis
this null hypothesis,174,hypothesis
with a hypothesis,172,hypothesis
sexual selection hypothesis,168,hypothesis
our working hypothesis,162,hypothesis
thus the hypothesis,161,hypothesis
growth rate hypothesis,155,hypothesis
a testable hypothesis,153,hypothesis
and a hypothesis,153,hypothesis
the challenge hypothesis,152,hypothesis
a third hypothesis,151,hypothesis
the eica hypothesis,149,hypothesis
niche variation hypothesis,148,hypothesis
in the hypothesis,146,hypothesis
evaluate this hypothesis,143,hypothesis
brood reduction hypothesis,142,hypothesis
an evolutionary hypothesis,141,hypothesis
but this hypothesis,140,hypothesis
predator satiation hypothesis,140,hypothesis
confirm this hypothesis,139,hypothesis
the same hypothesis,138,hypothesis
although this hypothesis,137,hypothesis
risk allocation hypothesis,137,hypothesis
social fence hypothesis,136,hypothesis
differential allocation hypothesis,133,hypothesis
a reasonable hypothesis,131,hypothesis
is the hypothesis,131,hypothesis
species energy hypothesis,131,hypothesis
stability time hypothesis,130,hypothesis
as a hypothesis,127,hypothesis
retention a hypothesis,125,hypothesis
in this hypothesis,124,hypothesis
stress gradient hypothesis,124,hypothesis
and zuk hypothesis,122,hypothesis
the phylogenetic hypothesis,122,hypothesis
grazing optimization hypothesis,121,hypothesis
productive space hypothesis,121,hypothesis
against this hypothesis,119,hypothesis
confirm the hypothesis,119,hypothesis
plant stress hypothesis,119,hypothesis
alternative prey hypothesis,118,hypothesis
examine this hypothesis,118,hypothesis
by this hypothesis,116,hypothesis
for our hypothesis,116,hypothesis
our third hypothesis,115,hypothesis
the simplest hypothesis,114,hypothesis
the initial hypothesis,112,hypothesis
molecular clock hypothesis,111,hypothesis
refute the hypothesis,111,hypothesis
such an hypothesis,111,hypothesis
the former hypothesis,111,hypothesis
adaptive plasticity hypothesis,110,hypothesis
from this hypothesis,109,hypothesis
port the hypothesis,109,hypothesis
