year,panel,gram_canonical,total_words,total
1920,1: Birth of conservation,conservation,630090,6
1921,1: Birth of conservation,conservation,589125,11
1922,1: Birth of conservation,conservation,536084,7
1923,1: Birth of conservation,conservation,711435,5
1924,1: Birth of conservation,conservation,684937,4
1925,1: Birth of conservation,conservation,860483,10
1926,1: Birth of conservation,conservation,824677,1
1927,1: Birth of conservation,conservation,797713,3
1928,1: Birth of conservation,conservation,889702,10
1929,1: Birth of conservation,conservation,880254,5
1930,1: Birth of conservation,conservation,940855,6
1931,1: Birth of conservation,conservation,1279796,18
1932,1: Birth of conservation,conservation,1186501,7
1933,1: Birth of conservation,conservation,898679,13
1934,1: Birth of conservation,conservation,1224182,12
1935,1: Birth of conservation,conservation,1180563,16
1936,1: Birth of conservation,conservation,1205270,27
1937,1: Birth of conservation,conservation,1333413,19
1938,1: Birth of conservation,conservation,1096306,59
1939,1: Birth of conservation,conservation,977570,25
1940,1: Birth of conservation,conservation,1030652,21
1941,1: Birth of conservation,conservation,870866,32
1942,1: Birth of conservation,conservation,923110,38
1943,1: Birth of conservation,conservation,781624,31
1944,1: Birth of conservation,conservation,802533,26
1945,1: Birth of conservation,conservation,695500,42
1946,1: Birth of conservation,conservation,906932,36
1947,1: Birth of conservation,conservation,1034692,40
1948,1: Birth of conservation,conservation,906817,31
1949,1: Birth of conservation,conservation,949573,29
1950,1: Birth of conservation,conservation,1257239,48
1951,1: Birth of conservation,conservation,1272147,34
1952,1: Birth of conservation,conservation,1338935,29
1953,1: Birth of conservation,conservation,1246757,133
1954,1: Birth of conservation,conservation,1348685,106
1955,1: Birth of conservation,conservation,1510331,58
1956,1: Birth of conservation,conservation,1486176,22
1957,1: Birth of conservation,conservation,1535449,33
1958,1: Birth of conservation,conservation,1709098,32
1959,1: Birth of conservation,conservation,1586959,39
1960,1: Birth of conservation,conservation,1782508,30
1961,1: Birth of conservation,conservation,1765657,42
1962,1: Birth of conservation,conservation,1753664,67
1963,1: Birth of conservation,conservation,1844840,52
1964,1: Birth of conservation,conservation,2285016,120
1965,1: Birth of conservation,conservation,2366519,112
1966,1: Birth of conservation,conservation,2646845,72
1967,1: Birth of conservation,conservation,2436421,113
1968,1: Birth of conservation,conservation,2817575,303
1969,1: Birth of conservation,conservation,3165729,90
1970,1: Birth of conservation,conservation,3398488,99
1971,1: Birth of conservation,conservation,3876617,163
1972,1: Birth of conservation,conservation,3861897,145
1973,1: Birth of conservation,conservation,3944110,174
1974,1: Birth of conservation,conservation,4327880,161
1975,1: Birth of conservation,conservation,4926792,214
1976,1: Birth of conservation,conservation,4851135,406
1977,1: Birth of conservation,conservation,5986495,692
1978,1: Birth of conservation,conservation,5653233,332
1979,1: Birth of conservation,conservation,5693994,382
1980,1: Birth of conservation,conservation,6331998,368
1981,1: Birth of conservation,conservation,6748054,442
1982,1: Birth of conservation,conservation,6661455,671
1983,1: Birth of conservation,conservation,7131449,648
1984,1: Birth of conservation,conservation,7405435,770
1985,1: Birth of conservation,conservation,7790280,708
1986,1: Birth of conservation,conservation,7205017,830
1987,1: Birth of conservation,conservation,8232279,1946
1988,1: Birth of conservation,conservation,9127375,2183
1989,1: Birth of conservation,conservation,9187930,2458
1990,1: Birth of conservation,conservation,9827250,2510
1991,1: Birth of conservation,conservation,10692126,2839
1992,1: Birth of conservation,conservation,11532841,4254
1993,1: Birth of conservation,conservation,11863228,5092
1994,1: Birth of conservation,conservation,12424547,6228
1995,1: Birth of conservation,conservation,13968243,7585
1996,1: Birth of conservation,conservation,15100715,9992
1997,1: Birth of conservation,conservation,15395967,7919
1998,1: Birth of conservation,conservation,16912010,9174
1999,1: Birth of conservation,conservation,16924957,10436
2000,1: Birth of conservation,conservation,18064233,11549
2001,1: Birth of conservation,conservation,19322097,12997
2002,1: Birth of conservation,conservation,18790584,12794
2003,1: Birth of conservation,conservation,20408258,14744
2004,1: Birth of conservation,conservation,20858212,15709
2005,1: Birth of conservation,conservation,21777074,18089
2006,1: Birth of conservation,conservation,23460538,19858
2007,1: Birth of conservation,conservation,23407699,20393
2008,1: Birth of conservation,conservation,26392520,23644
2009,1: Birth of conservation,conservation,26767306,21264
2010,1: Birth of conservation,conservation,23931224,22572
2011,1: Birth of conservation,conservation,24867009,22188
1920,1: Birth of conservation,natural history,630090,28
1921,1: Birth of conservation,natural history,589125,27
1922,1: Birth of conservation,natural history,536084,14
1923,1: Birth of conservation,natural history,711435,26
1924,1: Birth of conservation,natural history,684937,25
1925,1: Birth of conservation,natural history,860483,22
1926,1: Birth of conservation,natural history,824677,28
1927,1: Birth of conservation,natural history,797713,35
1928,1: Birth of conservation,natural history,889702,35
1929,1: Birth of conservation,natural history,880254,17
1930,1: Birth of conservation,natural history,940855,32
1931,1: Birth of conservation,natural history,1279796,27
1932,1: Birth of conservation,natural history,1186501,41
1933,1: Birth of conservation,natural history,898679,24
1934,1: Birth of conservation,natural history,1224182,15
1935,1: Birth of conservation,natural history,1180563,40
1936,1: Birth of conservation,natural history,1205270,39
1937,1: Birth of conservation,natural history,1333413,38
1938,1: Birth of conservation,natural history,1096306,35
1939,1: Birth of conservation,natural history,977570,27
1940,1: Birth of conservation,natural history,1030652,72
1941,1: Birth of conservation,natural history,870866,33
1942,1: Birth of conservation,natural history,923110,20
1943,1: Birth of conservation,natural history,781624,49
1944,1: Birth of conservation,natural history,802533,45
1945,1: Birth of conservation,natural history,695500,26
1946,1: Birth of conservation,natural history,906932,27
1947,1: Birth of conservation,natural history,1034692,28
1948,1: Birth of conservation,natural history,906817,39
1949,1: Birth of conservation,natural history,949573,38
1950,1: Birth of conservation,natural history,1257239,52
1951,1: Birth of conservation,natural history,1272147,53
1952,1: Birth of conservation,natural history,1338935,55
1953,1: Birth of conservation,natural history,1246757,19
1954,1: Birth of conservation,natural history,1348685,41
1955,1: Birth of conservation,natural history,1510331,52
1956,1: Birth of conservation,natural history,1486176,52
1957,1: Birth of conservation,natural history,1535449,66
1958,1: Birth of conservation,natural history,1709098,95
1959,1: Birth of conservation,natural history,1586959,68
1960,1: Birth of conservation,natural history,1782508,85
1961,1: Birth of conservation,natural history,1765657,66
1962,1: Birth of conservation,natural history,1753664,72
1963,1: Birth of conservation,natural history,1844840,74
1964,1: Birth of conservation,natural history,2285016,169
1965,1: Birth of conservation,natural history,2366519,99
1966,1: Birth of conservation,natural history,2646845,130
1967,1: Birth of conservation,natural history,2436421,116
1968,1: Birth of conservation,natural history,2817575,100
1969,1: Birth of conservation,natural history,3165729,130
1970,1: Birth of conservation,natural history,3398488,148
1971,1: Birth of conservation,natural history,3876617,185
1972,1: Birth of conservation,natural history,3861897,146
1973,1: Birth of conservation,natural history,3944110,156
1974,1: Birth of conservation,natural history,4327880,179
1975,1: Birth of conservation,natural history,4926792,166
1976,1: Birth of conservation,natural history,4851135,179
1977,1: Birth of conservation,natural history,5986495,227
1978,1: Birth of conservation,natural history,5653233,336
1979,1: Birth of conservation,natural history,5693994,270
1980,1: Birth of conservation,natural history,6331998,299
1981,1: Birth of conservation,natural history,6748054,294
1982,1: Birth of conservation,natural history,6661455,273
1983,1: Birth of conservation,natural history,7131449,324
1984,1: Birth of conservation,natural history,7405435,318
1985,1: Birth of conservation,natural history,7790280,372
1986,1: Birth of conservation,natural history,7205017,417
