year,panel,gram_canonical,total_words,total
1920,1: Invasive species,exotic species,630090,6
1921,1: Invasive species,exotic species,589125,3
1922,1: Invasive species,exotic species,536084,4
1923,1: Invasive species,exotic species,711435,3
1924,1: Invasive species,exotic species,684937,2
1925,1: Invasive species,exotic species,860483,4
1926,1: Invasive species,exotic species,824677,5
1927,1: Invasive species,exotic species,797713,3
1928,1: Invasive species,exotic species,889702,4
1929,1: Invasive species,exotic species,880254,2
1930,1: Invasive species,exotic species,940855,6
1931,1: Invasive species,exotic species,1279796,3
1932,1: Invasive species,exotic species,1186501,4
1933,1: Invasive species,exotic species,898679,4
1934,1: Invasive species,exotic species,1224182,5
1935,1: Invasive species,exotic species,1180563,5
1936,1: Invasive species,exotic species,1205270,20
1937,1: Invasive species,exotic species,1333413,16
1938,1: Invasive species,exotic species,1096306,3
1939,1: Invasive species,exotic species,977570,6
1940,1: Invasive species,exotic species,1030652,5
1941,1: Invasive species,exotic species,870866,10
1942,1: Invasive species,exotic species,923110,66
1943,1: Invasive species,exotic species,781624,8
1945,1: Invasive species,exotic species,695500,1
1946,1: Invasive species,exotic species,906932,9
1947,1: Invasive species,exotic species,1034692,27
1948,1: Invasive species,exotic species,906817,8
1949,1: Invasive species,exotic species,949573,5
1950,1: Invasive species,exotic species,1257239,2
1951,1: Invasive species,exotic species,1272147,18
1952,1: Invasive species,exotic species,1338935,20
1953,1: Invasive species,exotic species,1246757,1
1954,1: Invasive species,exotic species,1348685,6
1956,1: Invasive species,exotic species,1486176,24
1957,1: Invasive species,exotic species,1535449,56
1958,1: Invasive species,exotic species,1709098,27
1959,1: Invasive species,exotic species,1586959,1
1960,1: Invasive species,exotic species,1782508,21
1961,1: Invasive species,exotic species,1765657,31
1962,1: Invasive species,exotic species,1753664,78
1963,1: Invasive species,exotic species,1844840,10
1964,1: Invasive species,exotic species,2285016,15
1965,1: Invasive species,exotic species,2366519,115
1966,1: Invasive species,exotic species,2646845,18
1967,1: Invasive species,exotic species,2436421,49
1968,1: Invasive species,exotic species,2817575,21
1969,1: Invasive species,exotic species,3165729,29
1970,1: Invasive species,exotic species,3398488,35
1971,1: Invasive species,exotic species,3876617,17
1972,1: Invasive species,exotic species,3861897,32
1973,1: Invasive species,exotic species,3944110,16
1974,1: Invasive species,exotic species,4327880,24
1975,1: Invasive species,exotic species,4926792,139
1976,1: Invasive species,exotic species,4851135,37
1977,1: Invasive species,exotic species,5986495,63
1978,1: Invasive species,exotic species,5653233,36
1979,1: Invasive species,exotic species,5693994,32
1980,1: Invasive species,exotic species,6331998,92
1981,1: Invasive species,exotic species,6748054,196
1982,1: Invasive species,exotic species,6661455,43
1983,1: Invasive species,exotic species,7131449,108
1984,1: Invasive species,exotic species,7405435,208
1985,1: Invasive species,exotic species,7790280,160
1986,1: Invasive species,exotic species,7205017,338
1987,1: Invasive species,exotic species,8232279,150
1988,1: Invasive species,exotic species,9127375,276
1989,1: Invasive species,exotic species,9187930,282
1990,1: Invasive species,exotic species,9827250,277
1991,1: Invasive species,exotic species,10692126,233
1992,1: Invasive species,exotic species,11532841,559
1993,1: Invasive species,exotic species,11863228,291
1994,1: Invasive species,exotic species,12424547,348
1995,1: Invasive species,exotic species,13968243,493
1996,1: Invasive species,exotic species,15100715,981
1997,1: Invasive species,exotic species,15395967,581
1998,1: Invasive species,exotic species,16912010,945
1999,1: Invasive species,exotic species,16924957,1098
2000,1: Invasive species,exotic species,18064233,1005
2001,1: Invasive species,exotic species,19322097,1730
2002,1: Invasive species,exotic species,18790584,1516
