main_term,decade,gram,sum_total
hypothesis,1930,the hypothesis,461
hypothesis,1930,this hypothesis,251
hypothesis,1930,working hypothesis,80
hypothesis,1930,of the hypothesis,55
hypothesis,1930,to the hypothesis,47
hypothesis,1930,an hypothesis,45
hypothesis,1930,a hypothesis,40
hypothesis,1930,a working hypothesis,37
hypothesis,1930,on the hypothesis,35
hypothesis,1930,hypothesis of the,34
hypothesis,1930,with the hypothesis,34
hypothesis,1930,of this hypothesis,28
hypothesis,1930,on this hypothesis,27
hypothesis,1930,hormone hypothesis,22
hypothesis,1930,hypothesis of a,22
hypothesis,1930,the working hypothesis,22
hypothesis,1930,target hypothesis,20
hypothesis,1930,the target hypothesis,20
hypothesis,1930,ratio hypothesis,19
hypothesis,1930,second hypothesis,17
hypothesis,1930,test this hypothesis,17
hypothesis,1930,first hypothesis,16
hypothesis,1930,such an hypothesis,16
hypothesis,1930,test the hypothesis,16
hypothesis,1930,the ratio hypothesis,16
hypothesis,1930,above hypothesis,15
hypothesis,1930,by the hypothesis,15
hypothesis,1930,compound hypothesis,15
hypothesis,1930,his hypothesis,15
hypothesis,1930,our hypothesis,15
hypothesis,1930,the above hypothesis,15
hypothesis,1930,to this hypothesis,15
hypothesis,1930,intermediate compound hypothesis,14
hypothesis,1930,alternative hypothesis,13
hypothesis,1930,any hypothesis,13
hypothesis,1930,the first hypothesis,13
hypothesis,1930,factor hypothesis,12
hypothesis,1930,the second hypothesis,12
hypothesis,1930,of hypothesis,11
hypothesis,1930,simple hypothesis,11
hypothesis,1930,by hypothesis,10
hypothesis,1930,following hypothesis,10
hypothesis,1930,if the hypothesis,10
hypothesis,1930,such a hypothesis,10
hypothesis,1930,the following hypothesis,10
hypothesis,1930,with this hypothesis,10
hypothesis,1930,general hypothesis,9
hypothesis,1930,independence hypothesis,9
hypothesis,1930,provisional hypothesis,9
hypothesis,1930,support the hypothesis,9
hypothesis,1930,that the hypothesis,9
hypothesis,1930,that this hypothesis,9
hypothesis,1930,the independence hypothesis,9
hypothesis,1940,the hypothesis,325
hypothesis,1940,this hypothesis,199
hypothesis,1940,a hypothesis,44
hypothesis,1940,of the hypothesis,35
hypothesis,1940,an hypothesis,33
hypothesis,1940,cluster hypothesis,33
hypothesis,1940,the cluster hypothesis,30
hypothesis,1940,of this hypothesis,29
hypothesis,1940,working hypothesis,29
hypothesis,1940,hypothesis of the,28
hypothesis,1940,with the hypothesis,26
hypothesis,1940,on the hypothesis,20
hypothesis,1940,to the hypothesis,17
hypothesis,1940,a working hypothesis,15
hypothesis,1940,by the hypothesis,15
hypothesis,1940,first hypothesis,15
hypothesis,1940,to this hypothesis,15
hypothesis,1940,test this hypothesis,14
hypothesis,1940,such a hypothesis,12
hypothesis,1940,his hypothesis,11
hypothesis,1940,hypothesis of a,11
hypothesis,1940,on this hypothesis,11
