journal,subject,slug,url,continuation,start,end
Ambio,ecology,ambio,http://www.jstor.org/journal/ambio,FALSE,1972,2012
Ambio Special Report,ecology,ambispecrepo,http://www.jstor.org/journal/ambispecrepo,TRUE,1972,1979
The American Midland Naturalist,ecology,amermidlnatu,http://www.jstor.org/journal/amermidlnatu,FALSE,1909,2012
The Midland Naturalist,ecology,midlnatu,http://www.jstor.org/journal/midlnatu,TRUE,1909,1909
The American Naturalist,ecology,amernatu,http://www.jstor.org/journal/amernatu,FALSE,1867,2015
"Annalen des Naturhistorischen Museums in Wien. Serie A für Mineralogie und Petrographie, Geologie und Paläontologie, Anthropologie und Prähistorie",ecology,annnatmuswiesera,http://www.jstor.org/journal/annnatmuswiesera,FALSE,1980,2012
Annalen des Naturhistorischen Museums in Wien,ecology,annanatumusewien,http://www.jstor.org/journal/annanatumusewien,TRUE,1886,1979
Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie,ecology,annnatmuswieserb,http://www.jstor.org/journal/annnatmuswieserb,FALSE,1980,2012
Annalen des Naturhistorischen Museums in Wien,ecology,annanatumusewien,http://www.jstor.org/journal/annanatumusewien,TRUE,1886,1979
"Annual Review of Ecology, Evolution, and Systematics",ecology,annureviecolevol,http://www.jstor.org/journal/annureviecolevol,FALSE,2003,2010
Annual Review of Ecology and Systematics,ecology,annureviecolsyst,http://www.jstor.org/journal/annureviecolsyst,TRUE,1970,2002
"Arctic, Antarctic, and Alpine Research",ecology,arctantaalpirese,http://www.jstor.org/journal/arctantaalpirese,FALSE,1999,2012
Arctic and Alpine Research,ecology,arctalpirese,http://www.jstor.org/journal/arctalpirese,TRUE,1969,1998
Behavioral Ecology and Sociobiology,ecology,behaecolsoci,http://www.jstor.org/journal/behaecolsoci,FALSE,1976,2012
Behaviour,ecology,behaviour,http://www.jstor.org/journal/behaviour,FALSE,1947,2010
Behaviour. Supplement,ecology,behasupp,http://www.jstor.org/journal/behasupp,FALSE,1950,1977
Biogeochemistry,ecology,biogeochemistry,http://www.jstor.org/journal/biogeochemistry,FALSE,1984,2012
Biotropica,ecology,biotropica,http://www.jstor.org/journal/biotropica,FALSE,1969,2010
Bulletin (Association for Tropical Biology),ecology,bullassotropbiol,http://www.jstor.org/journal/bullassotropbiol,TRUE,1964,1967
Bulletin of the Ecological Society of America,ecology,bullecosociamer,http://www.jstor.org/journal/bullecosociamer,FALSE,1917,2015
Caldasia,ecology,caldasia,http://www.jstor.org/journal/caldasia,FALSE,1943,2012
Community Ecology,ecology,communityecology,http://www.jstor.org/journal/communityecology,FALSE,2005,2010
Abstracta Botanica,ecology,abstbota,http://www.jstor.org/journal/abstbota,TRUE,1971,1998
Coenoses,ecology,coenoses,http://www.jstor.org/journal/coenoses,TRUE,1986,1998
Conservation Biology,ecology,consbiol,http://www.jstor.org/journal/consbiol,FALSE,1987,2005
Diversity and Distributions,ecology,divedist,http://www.jstor.org/journal/divedist,FALSE,1998,2005
Biodiversity Letters,ecology,biodlett,http://www.jstor.org/journal/biodlett,TRUE,1993,1996
Ecography,ecology,ecography,http://www.jstor.org/journal/ecography,FALSE,1992,2008
Holarctic Ecology,ecology,holarcticecology,http://www.jstor.org/journal/holarcticecology,TRUE,1978,1991
Ecología Política,ecology,ecolpoli,http://www.jstor.org/journal/ecolpoli,FALSE,1992,2013
Ecological Applications,ecology,ecolappl,http://www.jstor.org/journal/ecolappl,FALSE,1991,2013
Ecological Bulletins,ecology,ecologicalbull,http://www.jstor.org/journal/ecologicalbull,FALSE,1975,2007
Bulletins from the Ecological Research Committee/NFR,ecology,bullecolrescomm,http://www.jstor.org/journal/bullecolrescomm,TRUE,1970,1973
Ecological Monographs,ecology,ecolmono,http://www.jstor.org/journal/ecolmono,FALSE,1931,2013
Ecology,ecology,ecology,http://www.jstor.org/journal/ecology,FALSE,1920,2013
The Plant World,ecology,plantworld,http://www.jstor.org/journal/plantworld,TRUE,1898,1919
The Asa Gray Bulletin,ecology,asagraybull,http://www.jstor.org/journal/asagraybull,TRUE,1893,1901
