group_vote,group_comments,journal,bt_code,pe_code,sa_code,continuation_id
IN,,Ambio,IN,IN,IN,1-biologicalsciences; 1-ecology
IN,,Ambio Special Report,IN,IN,IN,1-biologicalsciences; 1-ecology
NR,,Mathematical Proceedings of the Royal Irish Academy,NR,IN,BS,100-biologicalsciences
NR,,Proceedings of the Royal Irish Academy. Section A: Mathematical and Physical Sciences,NR,IN,BS,100-biologicalsciences
NR,,Proceedings of the Royal Irish Academy (1836-1869),NR,IN,BS,100-biologicalsciences; 131-biologicalsciences; 22-biologicalsciences
NR,,Proceedings of the Royal Irish Academy (1889-1901),??,IN,BS,100-biologicalsciences; 131-biologicalsciences; 22-biologicalsciences
NR,,Proceedings of the Royal Irish Academy. Polite Literature and Antiquities,??,IN,BS,100-biologicalsciences; 131-biologicalsciences; 22-biologicalsciences
NR,,Proceedings of the Royal Irish Academy. Science,??,IN,BS,100-biologicalsciences; 131-biologicalsciences; 22-biologicalsciences
NC,KS,Memoirs of the Torrey Botanical Club,TS,NR,BS,103-biologicalsciences
NC,KS,Memoirs of the Torrey Botanical Society,TS,NR,BS,103-biologicalsciences
NR,,Micropaleontology,TS,NR,BS,105-biologicalsciences
NR,,The Micropaleontologist,TS,NR,BS,105-biologicalsciences
RS,,Great Basin Naturalist Memoirs,RS,RS,"TS, NC",107-biologicalsciences; 46-ecology
RS,,Monographs of the Western North American Naturalist,RS,RS,"TS, NC",107-biologicalsciences; 46-ecology
IN,KS,Mycologia,TS,IN,BS,109-biologicalsciences
IN,KS,Mycological Bulletin,TS,IN,BS,109-biologicalsciences
IN,KS,Ohio Mycological Bulletin,"TS, RS",IN,BS,109-biologicalsciences
IN,KS,The Journal of Mycology,TS,IN,BS,109-biologicalsciences
RS,,Maine Naturalist,RS,IN,RS,111-biologicalsciences; 48-ecology
RS,,Northeastern Naturalist,RS,IN,RS,111-biologicalsciences; 48-ecology
RS,,Northwestern Naturalist,"TS, RS",IN,RS,112-biologicalsciences; 49-ecology
RS,,The Murrelet,RS,IN,RS,112-biologicalsciences; 49-ecology
