order,panel,gram,gram_canonical,,
1,regression,correlation,correlation,,
1,regression,correlations,correlation,,
,regression,regression,regression,,
,regression,regressions,regression,,
,regression,anova,ANOVA,,
,regression,t test,t-test,,
,regression,ttest,t-test,,
,regression,GLM,GLM,,
,regression,GLMs,GLM,,
,regression,generalized linear model,GLM,,
,regression,generalized linear models,GLM,,
2,fit by,maximum likelihood,maximum likelihood,,
,fit by,least squares,least-squares,,
,fit by,least square,least-squares,,
,fit by,mcmc,MCMC,,
,fit by,bayesian,Bayesian,,
,fit by,bayes,Bayesian,,
,fit by,aic,AIC,,
3,p-hack,confidence interval,confidence interval,,
3,p-hack,confidence intervals,confidence interval,,
,p-hack,null hypothesis,null hypothesis,,
,p-hack,power analysis,power analysis,,
,p-hack,power analyses,power analysis,,
,p-hack,p value,p-value,,
,p-hack,p values,p-value,,
,p-hack,pvalue,p-value,,
,p-hack,pvalues,p-value,,
,p-hack,significant difference,significant difference,,
,p-hack,significant differences,significant difference,,
4,supplementary,unpublished data,unpublished data,,
,supplementary,supplementary material,supplementary material,,
,supplementary,supplementary materials,supplementary material,,
,supplementary,supporting information,supplementary material,,
,supplementary,supporting online material,supplementary material,,
,supplementary,supporting online materials,supplementary material,,
,supplementary,som,supplementary material,,
5,Genetic Fields,ecological genomics,ecological genomics,,
,Genetic Fields,epigenetics,epigenetics,,
,Genetic Fields,genetic diversity,genetic diversity,,
,Genetic Fields,metagenomics,Omics techniques,,
,Genetic Fields,molecular ecology,molecular ecology,,
,Genetic Fields,phylogenetic,phylogenetics,,
,Genetic Fields,proteomics,Omics techniques,,
,Genetic Fields,transcriptomics,Omics techniques,,
,Genetic Fields,genetic engineering,genetic engineering,,
,Genetic Fields,conservation genetics,conservation genetics,,
6,Genetic tools,amplified fragment length polymorphism,AFLP,SupplementA,
,Genetic tools,AFLP,AFLP,SupplementA,
,Genetic tools,gene expression,gene expression,SupplementB,
,Genetic tools,eDNA,eDNA,Main Text,
,Genetic tools,environmental DNA,eDNA,Main Text,
,Genetic tools,CRISPR-CAS,CRISPR-CAS,SupplementA,
,Genetic tools,gene drive,gene drive,Main Text,
,Genetic tools,microarray,microarray,SupplementB,
,Genetic tools,microsatellites,microsatellites and minisatellites,SupplementA,
,Genetic tools,minisatellites,microsatellites and minisatellites,SupplementA,
,Genetic tools,mitochondrial DNA,mtDNA,SupplementA,
,Genetic tools,mtDNA,mtDNA,SupplementA,
,Genetic tools,qPCR,q/RT-PCR,Main Text,
,Genetic tools,RT-PCR,q/RT-PCR,Main Text,
,Genetic tools,genome sequencing,whole genome sequencing,Main Text,
,Genetic tools,single nucleotide polymorphisms,single nucleotide polymorphisms,Main Text,
,Genetic tools,RNA-seq,RNA-seq,Main Text,
,Genetic tools,high throughput sequencing,next generation sequencing,Main Text,
,Genetic tools,illumina,next generation sequencing,Main Text,
,Genetic tools,illumina sequencing,next generation sequencing,Main Text,
,Genetic tools,ion torrent,next generation sequencing,Main Text,
,Genetic tools,next gen sequencing,next generation sequencing,Main Text,
,Genetic tools,next generation sequencing,next generation sequencing,Main Text,
,Genetic tools,PacBio,next generation sequencing,Main Text,
,Genetic tools,pyrosequencing,next generation sequencing,Main Text,
,Genetic tools,shot gun sequencing,next generation sequencing,Main Text,
,Genetic tools,shotgun sequencing,next generation sequencing,Main Text,
,Genetic tools,RAD seq,RADseq,SupplementB,
,Genetic tools,RADseq,RADseq,SupplementB,
,Genetic tools,restriction site associated,RADseq,SupplementB,
,Genetic tools,sanger sequencing,sanger sequencing,Main Text,
,Genetic tools,whole genome resequencing,whole genome sequencing,Main Text,
,Genetic tools,whole genome sequencing,whole genome sequencing,Main Text,
,Genetic tools,SOLiD system,next generation sequencing,Main Text,
,Genetic tools,nuclear DNA,nuDNA,SupplementA,
,Genetic tools,nuDNA,nuDNA,SupplementA,
,Genetic tools,RNA,RNA,SupplementB,
,Genetic tools,SNPs,single nucleotide polymorphisms,Main Text,
