term,panel,grouped terms
global change,a,
global warming,a,
*climate change,a,
land cover change,a,
land-use change,a,1
*land use change,a,1
extinction,a,
,,
disturbance,b,1
*habitat disturbance,b,1
fragmentation,b,2
*habitat fragmentation,b,2
deforestation,b,
*degradation,b,3
*habitat degradation,b,3
*forest degradation,b,3
afforestation,b,
reforestation,b,
*landscape modification,b,4
*landscape alteration,b,4
*habitat modification,b,4
*habitat alteration,b,4
*forest loss,b,
habitat loss,b,
*logging,b,
*extraction,b,
*mining,b,
,,
ozone,c,
emissions,c,1
carbon emissions,c,1
greenhouse gas,c,2
*greenhouse gases,c,2
greenhouse effect,c,
pollution,c,
sea-level rise,c,3
sea level rise,c,3
weather extremes,c,4
climate extremes,c,4
extreme climatic events,c,4
extreme weather events,c,4
bleaching,c,
range shifts,c,5
*species range shifts,c,5
*phenology shifts,c,
*phenological shifts,c,
ocean acidification,c,
,,
poaching,d,
defaunation,d,
*hunting,d,
*bushmeat,d,
wildlife trade,d,
pet trade,d,
harvesting,d,1
*over-harvesting,d,1
removal,d,
depletion,d,
*fishing,d,2
*over-fishing,d,2
*trapping,d,
*depredation,d,
