panel,gram,gram_canonical
interventions,community based management,community-based management
interventions,community based conservation,community-based management
interventions,CBNRM,community-based management
interventions,community-based natural,community-based management
interventions,ecotourism,ecotourism
interventions,certification,certification
interventions,ecolabel,certification
interventions,eco label,certification
interventions,ecolabelling,certification
interventions,eco labelling,certification
interventions,MSC,certification
interventions,FSC,certification
interventions,carbon offsetting,offsetting
interventions,biodiversity offsetting,offsetting
interventions,REDD,REDD
interventions,REDD+,REDD
interventions,Alternative livelihoods,Alternative livelihoods
interventions,Alternative income,Alternative livelihoods
Human wellbeing ,human wellbeing,human well-being
Human wellbeing ,human well being,human well-being
Human wellbeing ,Human wildlife conflict,Human-wildlife conflict
Human wellbeing ,Human wildlife coexistence,Human-wildlife conflict
Human wellbeing ,human health,human health
Human wellbeing ,child health,human health
Human wellbeing ,children's health,human health
Human wellbeing ,childrens health,human health
Human wellbeing ,women's health,human health
Human wellbeing ,womens health,human health
Human wellbeing ,poverty,poverty
Human wellbeing ,poor people,poverty
Human wellbeing ,food security,food security
Human wellbeing ,human rights,human rights
social science methods,questionnaire,questionnaire
social science methods,participant observation,participant observation
social science methods,ethnography,etnography
social science methods,interview,interview
social science methods,focus group,focus group
stakeholders,local community,local community
stakeholders,local people,local community
stakeholders,indigenous people,indigenous people
stakeholders,indigenous groups,indigenous people
stakeholders,stakeholder,stakeholder
stakeholders,property rights,property rights
stakeholders,customary rights,property rights
stakeholders,indigenous rights,property rights
stakeholders,traditional rights,property rights
stakeholders,tenure,tenure
stakeholders,participatory ,participatory
Human Behaviour,attitudes,attitudes
Human Behaviour,perceptions,perceptions
Human Behaviour,knowledge,knowledge
Human Behaviour,behavior,behavior
Human Behaviour,behaviour,behavior
Human Behaviour,social norms,social norms
Human Behaviour,Behavioral intention,Behavioral intention
Human Behaviour,Behavioural intention,Behavioral intention
